城市ID,行政归属,城市简称,拼音
WX4FBXXFKE4F,北京市,北京/北京,Beijing
WX4G0URR276S,北京市/东城区,北京/东城,Dongcheng
WX4EPCD9BMPN,北京市/西城区,北京/西城,Xicheng
WX4G17JWZEK7,北京市/朝阳区,北京/朝阳,Chaoyang
WX4DWN2X06KM,北京市/丰台区,北京/丰台,Fengtai
WX4DUXSF6714,北京市/石景山区,北京/石景山,Shijingshan
WX4EQ2XJD7V2,北京市/海淀区,北京/海淀,Haidian
WX4E1VJ3N56X,北京市/门头沟区,北京/门头沟,Mentougou
WX4D4S7291H4,北京市/房山区,北京/房山,Fangshan
WX4GN7JYY527,北京市/通州区,北京/通州,Tongzhou
WX4UQ3MYNN0Q,北京市/顺义区,北京/顺义,Shunyi
WX4SUCU47R3T,北京市/昌平区,北京/昌平,Changping
WX4DP0SUJ2YC,北京市/大兴区,北京/大兴,Daxing
WX4VMUP35BZ0,北京市/怀柔区,北京/怀柔,Huairou
WX5K31KNJY1W,北京市/平谷区,北京/平谷,Pinggu
WX5JDT1H236N,北京市/密云区,北京/密云,Miyun
WX4QNGWY2FE8,北京市/延庆区,北京/延庆,Yanqing
WWGQDCW6TBW1,天津市,天津/天津,Tianjin
WWGQE0U6VS5D,天津市/和平区,天津/和平,Heping
WWGQEFZMJC1W,天津市/河东区,天津/河东,Hedong
WWGQ7R6ZUMF7,天津市/河西区,天津/河西,Hexi
WWGQ9STVVP3Y,天津市/南开区,天津/南开,Nankai
WWGQDWRQSXXW,天津市/河北区,天津/河北,Hebei
WWGQC9YRXSBV,天津市/红桥区,天津/红桥,Hongqiao
WWGQM4R38052,天津市/东丽区,天津/东丽,Dongli
WWGNW7KUC8EN,天津市/西青区,天津/西青,Xiqing
WWGMZ01DBNXT,天津市/津南区,天津/津南,Jinnan
WWGR17G3NCFH,天津市/北辰区,天津/北辰,Beichen
WX50P0FTHSHF,天津市/武清区,天津/武清,Wuqing
WX53VNZ3B0EM,天津市/宝坻区,天津/宝坻,Baodi
WWGTYKJXE1UQ,天津市/滨海新区,天津/滨海新区,Binhaixinqu
WWGZ9PCCUGRS,天津市/宁河区,天津/宁河,Ninghe
WWGJKWFX9MYZ,天津市/静海区,天津/静海,Jinghai
WX57ZDBH4M0G,天津市/蓟州区,天津/蓟州,Jixian
WWC2MYYCM6J5,河北省/石家庄市,河北/石家庄/石家庄,Shijiazhuang
WWC2QK2826WW,河北省/石家庄市/长安区,河北/石家庄/长安,Changan
WWC2HQR941EY,河北省/石家庄市/桥西区,河北/石家庄/桥西,Qiaoxi
WWC2KWC5J30V,河北省/石家庄市/新华区,河北/石家庄/新华,Xinhua
WWC0M54UVCB4,河北省/石家庄市/井陉矿区,河北/石家庄/井陉,Jingxing
WWC2NNFBK813,河北省/石家庄市/裕华区,河北/石家庄/裕华,Yuhua
WWC8M50SUCVF,河北省/石家庄市/藁城区,河北/石家庄/藁城,Gaocheng
WWC28UQ8P492,河北省/石家庄市/鹿泉区,河北/石家庄/鹿泉,Luquan
WW9X2ZVDFXU1,河北省/石家庄市/栾城区,河北/石家庄/栾城,Luancheng
WWC0M73KEJJ4,河北省/石家庄市/井陉县,河北/石家庄/井陉,Jingxing
WWC3P0GRF7RY,河北省/石家庄市/正定县,河北/石家庄/正定,Zhengding
WWC6WEUYBRNZ,河北省/石家庄市/行唐县,河北/石家庄/行唐,Xingtang
WWC3FS39WJMP,河北省/石家庄市/灵寿县,河北/石家庄/灵寿,Lingshou
WW9MZUC5VS12,河北省/石家庄市/高邑县,河北/石家庄/高邑,Gaoyi
WWCCJQQNDECG,河北省/石家庄市/深泽县,河北/石家庄/深泽,Shenze
WW9Q6C8GXHVW,河北省/石家庄市/赞皇县,河北/石家庄/赞皇,Zanhuang
WWCC0NQWE5V7,河北省/石家庄市/无极县,河北/石家庄/无极,Wuji
WWC1WEJYKUGC,河北省/石家庄市/平山县,河北/石家庄/平山,Pingshan
WW9QVBNVTQJ1,河北省/石家庄市/元氏县,河北/石家庄/元氏,Yuanshi
WW9WG8HVWY49,河北省/石家庄市/赵县,河北/石家庄/赵县,Zhaoxian
WW9ZTZHSH874,河北省/石家庄市/辛集市,河北/石家庄/辛集,Xinji
WWCB3E4KC3BD,河北省/石家庄市/晋州市,河北/石家庄/晋州,Jinzhou
WWCD1T7KVWJU,河北省/石家庄市/新乐市,河北/石家庄/新乐,Xinle
WXH13WQT7XKN,河北省/唐山市,河北/唐山/唐山,Tangshan
WXH12T28ZCYU,河北省/唐山市/路南区,河北/唐山/路南,Lunan
WXH13T4TDV3W,河北省/唐山市/路北区,河北/唐山/路北,Lubei
WXH4P1N2GBRN,河北省/唐山市/古冶区,河北/唐山/古冶,Guye
WXH1DVXJJ7JU,河北省/唐山市/开平区,河北/唐山/开平,Kaiping
WX5CP7MZCQWS,河北省/唐山市/丰南区,河北/唐山/丰南,Fengnan
WXH494BF8D4K,河北省/唐山市/丰润区,河北/唐山/丰润,Fengrun
WWUNZ5FRFWND,河北省/唐山市/曹妃甸区,河北/唐山/曹妃甸,Caofeidian
WXH2SWU0HMTY,河北省/唐山市/滦南县,河北/唐山/滦南,Luannan
WXH838HQ4U9G,河北省/唐山市/乐亭县,河北/唐山/乐亭,Leting
WXHHKMJFXY6X,河北省/唐山市/迁西县,河北/唐山/迁西,Qianxi
WX5DZ5BMGFFD,河北省/唐山市/玉田县,河北/唐山/玉田,Yutian
WX5US4896NYS,河北省/唐山市/遵化市,河北/唐山/遵化,Zunhua
WXH7TJ6TQKXN,河北省/唐山市/迁安市,河北/唐山/迁安,Qianan
WXH6JH68W3P4,河北省/唐山市/滦州市,河北/唐山/滦州,Luanxian
WXJ51T411GRX,河北省/秦皇岛市,河北/秦皇岛/秦皇岛,Qinhuangdao
WXJ528H2CCFH,河北省/秦皇岛市/海港区,河北/秦皇岛/海港,Haigang
WXJ5MMTY1TV3,河北省/秦皇岛市/山海关区,河北/秦皇岛/山海关,Shanhaiguan
WXHFWFFDTF1H,河北省/秦皇岛市/北戴河区,河北/秦皇岛/北戴河,Beidaihe
WXHFC5UTU6GD,河北省/秦皇岛市/抚宁区,河北/秦皇岛/抚宁,Funing
WXHTFF8EPCUE,河北省/秦皇岛市/青龙满族自治县,河北/秦皇岛/青龙,Qinglong
WXH9ZG0VQ22K,河北省/秦皇岛市/昌黎县,河北/秦皇岛/昌黎,Changli
WXHDBGYMZFB6,河北省/秦皇岛市/卢龙县,河北/秦皇岛/卢龙,Lulong
WW92M43YCQG0,河北省/邯郸市,河北/邯郸/邯郸,Handan
WW92J5JNFTQ4,河北省/邯郸市/邯山区,河北/邯郸/邯山,Hanshan
WW92MJQVK1XG,河北省/邯郸市/丛台区,河北/邯郸/丛台,Congtai
WW92KTBK4BK7,河北省/邯郸市/复兴区,河北/邯郸/复兴,Fuxing
WW3PQKGPBU90,河北省/邯郸市/峰峰矿区,河北/邯郸/峰峰,Fengfeng
WW3XUMDZ1VU6,河北省/邯郸市/肥乡区,河北/邯郸/肥乡,Feixiang
WW93JP9G12GN,河北省/邯郸市/永年区,河北/邯郸/永年,Yongnian
WW3WB1RDPE4S,河北省/邯郸市/临漳县,河北/邯郸/临漳,Linzhang
WW3X1XGKJSJY,河北省/邯郸市/成安县,河北/邯郸/成安,Chengan
WW3YKK9DM6PJ,河北省/邯郸市/大名县,河北/邯郸/大名,Daming
WW8B497GWYP5,河北省/邯郸市/涉县,河北/邯郸/涉县,Shexian
WW3QF93DN5JH,河北省/邯郸市/磁县,河北/邯郸/磁县,Cixian
WW9CKYBHP92R,河北省/邯郸市/邱县,河北/邯郸/邱县,Qiuxian
WW9DJCJF94B4,河北省/邯郸市/鸡泽县,河北/邯郸/鸡泽,Jize
WW3XX2CRRHGK,河北省/邯郸市/广平县,河北/邯郸/广平,Guangping
WW3ZZDNFSTX3,河北省/邯郸市/馆陶县,河北/邯郸/馆陶,Guantao
WW3WZKCQX57K,河北省/邯郸市/魏县,河北/邯郸/魏县,Weixian
WW99PZ8510UQ,河北省/邯郸市/曲周县,河北/邯郸/曲周,Quzhou
WW90Y9JBUZGG,河北省/邯郸市/武安市,河北/邯郸/武安,Wuan
WW96VH3U3KG5,河北省/邢台市,河北/邢台,Xingtai
WW96VECQ55CT,河北省/邢台市/桥东区,河北/邢台/桥东,Qiaodong
WW96UDKYNGT7,河北省/邢台市/桥西区,河北/邢台/桥西,Qiaoxi
WW96VH3U3KG5,河北省/邢台市/邢台县,河北/邢台/邢台,Xingtai
WW9KVTBME3SP,河北省/邢台市/临城县,河北/邢台/临城,Lincheng
WW9KJYQBJRVN,河北省/邢台市/内丘县,河北/邢台/内丘,Neiqiu
WW9T3DEMMDTV,河北省/邢台市/柏乡县,河北/邢台/柏乡,Baixiang
WW9S7XKGWBDS,河北省/邢台市/隆尧县,河北/邢台/隆尧,Longyao
WW9E1X73VTTV,河北省/邢台市/任县,河北/邢台/任县,Renxian
WW9D3XEKTEVV,河北省/邢台市/南和县,河北/邢台/南和,Nanhe
WW9WP0D0QH6C,河北省/邢台市/宁晋县,河北/邢台/宁晋,Ningjin
WW9G9XDQ1QBS,河北省/邢台市/巨鹿县,河北/邢台/巨鹿,Julu
WW9VW84KPEHD,河北省/邢台市/新河县,河北/邢台/新河,Xinhe
WW9FUK3SMKZ5,河北省/邢台市/广宗县,河北/邢台/广宗,Guangzong
WW9FCS6K3KBE,河北省/邢台市/平乡县,河北/邢台/平乡,Pingxiang
WW9FQS42PESS,河北省/邢台市/威县,河北/邢台/威县,Weixian
WWD6BHKK6KG7,河北省/邢台市/清河县,河北/邢台/清河,Qinghe
WWD1SK2DC1FH,河北省/邢台市/临西县,河北/邢台/临西,Linxi
WWDH3X35SBES,河北省/邢台市/南宫市,河北/邢台/南宫,Nangong
WW93TS26G3UH,河北省/邢台市/沙河市,河北/邢台/沙河,Shahe
WWFJ5S4DNJ0T,河北省/保定市,河北/保定/保定,Baoding
WWFJ5JMBF7CD,河北省/保定市/竞秀区,河北/保定/竞秀,Jingxiu
WWFJHN3UNPX7,河北省/保定市/莲池区,河北/保定/莲池,Lianchi
WWFJ84TKNY22,河北省/保定市/满城区,河北/保定/满城,Mancheng
WWFHECCGX5C4,河北省/保定市/清苑区,河北/保定/清苑,Qingyuan
WWFJZXMGBR4N,河北省/保定市/徐水区,河北/保定/徐水,Xushui
WX421K89XKQ4,河北省/保定市/涞水县,河北/保定/涞水,Laishui
